rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,magnetic_field,x,y,z,magnetic_field_covariance
1402603785452458594,,53,,1402603785,451927944,fcu,,-1.15805365145e-05,1.41849726439e-05,4.31578755379e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603788399446367,,54,,1402603788,399034286,fcu,,-8.36970582604e-06,1.54333248734e-05,4.21787559986e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603789460852432,,55,,1402603789,460321135,fcu,,-8.36970582604e-06,1.60991117358e-05,4.24457877874e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603792398044110,,56,,1402603792,397611536,fcu,,-2.18551963568e-05,-8.70148539543e-06,4.27128195763e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603793465224350,,57,,1402603793,464830073,fcu,,-1.48831069469e-05,-1.88547506928e-05,4.15556818247e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603797384913140,,58,,1402603797,384488277,fcu,,-2.01121732593e-05,3.69873945601e-07,4.47600632906e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603798450190038,,59,,1402603798,449759956,fcu,,-1.89195767045e-05,-1.11981905997e-05,4.31578755379e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603800407411104,,60,,1402603800,406519874,fcu,,-2.55247175694e-05,-8.95115584135e-06,4.0131509304e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603802454847423,,61,,1402603802,454267946,fcu,,-2.16717198491e-05,-6.95379301906e-06,4.28908407688e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603805392779255,,62,,1402603805,392383909,fcu,,-2.20386698842e-05,-8.035697788e-06,4.35139149427e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603809398348370,,63,,1402603809,397893081,fcu,,-2.09378153086e-05,-8.035697788e-06,4.23567771912e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603810378622086,,64,,1402603810,378302157,fcu,,-2.20386698842e-05,-1.79393645376e-06,4.29798513651e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603813402038218,,65,,1402603813,401442668,fcu,,-1.04796789587e-05,1.40185251832e-05,4.18227136135e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603814377181398,,66,,1402603814,376762626,fcu,,-1.36905103922e-05,1.39353007078e-05,4.19117242098e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603815448601019,,67,,1402603815,448229657,fcu,,-1.51583179832e-05,1.34359613061e-05,4.25347983837e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603818387726220,,68,,1402603818,387371506,fcu,,-1.23144410551e-05,-1.85218557715e-05,4.33358937502e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603819454247329,,69,,1402603819,453758641,fcu,,-2.72677391768e-05,3.86526025832e-06,4.17337030172e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603822395158683,,70,,1402603822,394817743,fcu,,5.57447597384e-06,-1.04491785169e-05,4.35139149427e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603823459475200,,71,,1402603823,459185824,fcu,,-4.97539751232e-06,-4.95642185211e-05,6.10787468031e-07,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603826392681813,,72,,1402603826,392337747,fcu,,6.8588078022e-06,-2.1351455152e-05,3.77282261848e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
